,0,1,accuracy,macro avg,weighted avg
precision,0.8181818181818182,0.801980198019802,0.8048780487804879,0.8100810081008101,0.8069855766064412
recall,0.47368421052631576,0.9529411764705882,0.8048780487804879,0.7133126934984519,0.8048780487804879
f1-score,0.6,0.8709677419354839,0.8048780487804879,0.7354838709677419,0.7872541306058222
support,38.0,85.0,0.8048780487804879,123.0,123.0
